page_start	page_end	method	text_extracted_yes_no	ocr_used_yes_no	confidence	notable_terms	notes
1	1	pdftotext -layout	yes	no	high		form_feed_split
2	2	pdftotext -layout	yes	no	high	The Board	form_feed_split
3	3	pdftotext -layout	yes	no	high		form_feed_split
4	4	pdftotext -layout	yes	no	high		form_feed_split
5	5	pdftotext -layout	yes	no	high	Ghost Text; Financial Veins	form_feed_split
6	6	pdftotext -layout	yes	no	high	Foreign Key	form_feed_split
7	7	pdftotext -layout	yes	no	high	Foreign Key	form_feed_split
8	8	pdftotext -layout	yes	no	high		form_feed_split
9	9	pdftotext -layout	yes	no	high	Ghost Node	form_feed_split
10	10	pdftotext -layout	yes	no	high	Ghost Node	form_feed_split
11	11	pdftotext -layout	yes	no	high		form_feed_split
12	12	pdftotext -layout	yes	no	high	NSO Group; Carbyne911; Carbyne	form_feed_split
13	13	pdftotext -layout	yes	no	high		form_feed_split
14	14	pdftotext -layout	yes	no	high		form_feed_split
15	15	pdftotext -layout	yes	no	high	Quiet Corridors	form_feed_split
16	16	pdftotext -layout	yes	no	high		form_feed_split
17	17	pdftotext -layout	yes	no	high		form_feed_split
18	18	pdftotext -layout	yes	no	high		form_feed_split
19	19	pdftotext -layout	yes	no	high		form_feed_split
20	20	pdftotext -layout	yes	no	high		form_feed_split
21	21	pdftotext -layout	yes	no	high		form_feed_split
22	22	pdftotext -layout	yes	no	high		form_feed_split
23	23	pdftotext -layout	yes	no	high		form_feed_split
24	24	pdftotext -layout	yes	no	high		form_feed_split
25	25	pdftotext -layout	yes	no	high		form_feed_split
26	26	pdftotext -layout	yes	no	high		form_feed_split
27	27	pdftotext -layout	yes	no	high		form_feed_split
28	28	pdftotext -layout	yes	no	high	The Board	form_feed_split
29	29	pdftotext -layout	yes	no	high	The Board	form_feed_split
30	30	pdftotext -layout	yes	no	high	C. F. Lauden; Marisa Denke; Raúl Brant; Eli Navarre	form_feed_split
31	31	pdftotext -layout	yes	no	high	The Board	form_feed_split
32	32	pdftotext -layout	yes	no	high	The Board; Surgejack	form_feed_split
33	33	pdftotext -layout	yes	no	high	Mateo K. Durn; Silke van Romijn	form_feed_split
34	34	pdftotext -layout	yes	no	high	Victor Shen; The Board	form_feed_split
35	35	pdftotext -layout	yes	no	high	SWITCHMAN; The Board	form_feed_split
36	36	pdftotext -layout	yes	no	high	SWITCHMAN; The Board	form_feed_split
37	37	pdftotext -layout	yes	no	high	SWITCHMAN; The Board	form_feed_split
38	38	pdftotext -layout	yes	no	high	SWITCHMAN; The Board	form_feed_split
39	39	pdftotext -layout	yes	no	high	SWITCHMAN; The Board	form_feed_split
40	40	pdftotext -layout	yes	no	high	SWITCHMAN; The Board	form_feed_split
41	41	pdftotext -layout	yes	no	high	The Board	form_feed_split
42	42	pdftotext -layout	yes	no	high	The Board	form_feed_split
43	43	pdftotext -layout	yes	no	high	SWITCHMAN; The Board	form_feed_split
44	44	pdftotext -layout	yes	no	high	The Board	form_feed_split
45	45	pdftotext -layout	yes	no	high	The Board	form_feed_split
46	46	pdftotext -layout	yes	no	high	The Board	form_feed_split
47	47	pdftotext -layout	yes	no	high	The Board	form_feed_split
48	48	pdftotext -layout	yes	no	high		form_feed_split
49	49	pdftotext -layout	yes	no	high		form_feed_split
50	50	pdftotext -layout	yes	no	high	The Board	form_feed_split
51	51	pdftotext -layout	yes	no	high	The Board	form_feed_split
52	52	pdftotext -layout	yes	no	high		form_feed_split
53	53	pdftotext -layout	yes	no	high		form_feed_split
54	54	pdftotext -layout	yes	no	high		form_feed_split
55	55	pdftotext -layout	yes	no	high	The Board	form_feed_split
56	56	pdftotext -layout	yes	no	high	Prince Andrew	form_feed_split
57	57	pdftotext -layout	yes	no	high		form_feed_split
58	58	pdftotext -layout	yes	no	high		form_feed_split
59	59	pdftotext -layout	yes	no	high		form_feed_split
60	60	pdftotext -layout	yes	no	high		form_feed_split
61	61	pdftotext -layout	yes	no	high		form_feed_split
62	62	pdftotext -layout	yes	no	high		form_feed_split
63	63	pdftotext -layout	yes	no	high		form_feed_split
64	64	pdftotext -layout	yes	no	high		form_feed_split
65	65	pdftotext -layout	yes	no	high		form_feed_split
66	66	pdftotext -layout	yes	no	high		form_feed_split
67	67	pdftotext -layout	yes	no	high		form_feed_split
68	68	pdftotext -layout	yes	no	high		form_feed_split
69	69	pdftotext -layout	yes	no	high	Ghislaine Maxwell; Ehud Barak; NSO Group; Carbyne911; Carbyne	form_feed_split
70	70	pdftotext -layout	yes	no	high		form_feed_split
71	71	pdftotext -layout	yes	no	high		form_feed_split
72	72	pdftotext -layout	yes	no	high		form_feed_split
73	73	pdftotext -layout	yes	no	high		form_feed_split
74	74	pdftotext -layout	yes	no	high		form_feed_split
75	75	pdftotext -layout	yes	no	high		form_feed_split
76	76	pdftotext -layout	yes	no	high		form_feed_split
77	77	pdftotext -layout	yes	no	high		form_feed_split
78	78	pdftotext -layout	yes	no	high		form_feed_split
79	79	pdftotext -layout	yes	no	high		form_feed_split
80	80	pdftotext -layout	yes	no	high		form_feed_split
81	81	pdftotext -layout	yes	no	high		form_feed_split
82	82	pdftotext -layout	yes	no	high		form_feed_split
83	83	pdftotext -layout	yes	no	high		form_feed_split
84	84	pdftotext -layout	yes	no	high		form_feed_split
85	85	pdftotext -layout	yes	no	high		form_feed_split
86	86	pdftotext -layout	yes	no	high		form_feed_split
87	87	pdftotext -layout	yes	no	high		form_feed_split
88	88	pdftotext -layout	yes	no	high		form_feed_split
89	89	pdftotext -layout	yes	no	high		form_feed_split
90	90	pdftotext -layout	yes	no	high		form_feed_split
91	91	pdftotext -layout	yes	no	high	Leslie Wexner; Ghislaine Maxwell; Jean-Luc Brunel; Prince Andrew; Sarah Kellen	form_feed_split
92	92	pdftotext -layout	yes	no	high	Carbyne911; Carbyne; Blue Raven; Iron Torch	form_feed_split
93	93	pdftotext -layout	yes	no	high	Silver Lance; Night Pearl; Harbor Lock; Stone Chapel	form_feed_split
94	94	pdftotext -layout	yes	no	high	Jean-Luc Brunel; Blue Raven; Iron Torch; Silver Lance	form_feed_split
95	95	pdftotext -layout	yes	no	high	Ghislaine Maxwell; MC2; Blue Raven; Iron Torch; Night Pearl; Harbor Lock; Stone Chapel	form_feed_split
96	96	pdftotext -layout	yes	no	high	Blue Raven; Iron Torch; Night Pearl; Harbor Lock	form_feed_split
97	97	pdftotext -layout	yes	no	high	MC2; Silver Lance	form_feed_split
98	98	pdftotext -layout	yes	no	high		form_feed_split
99	99	pdftotext -layout	yes	no	high	Jean-Luc Brunel; MC2; Blue Raven; Iron Torch; Night Pearl; Harbor Lock	form_feed_split
100	100	pdftotext -layout	yes	no	high	NSO Group; Iron Torch; Silver Lance; Night Pearl; Harbor Lock	form_feed_split
101	101	pdftotext -layout	yes	no	high	Blue Raven; Iron Torch; Silver Lance; Harbor Lock	form_feed_split
102	102	pdftotext -layout	yes	no	high	Iron Torch; Night Pearl	form_feed_split
103	103	pdftotext -layout	yes	no	high	Harbor Lock	form_feed_split
104	104	pdftotext -layout	yes	no	high	Silver Lance; Night Pearl	form_feed_split
105	105	pdftotext -layout	yes	no	high	MC2; NSO Group; Iron Torch; Night Pearl	form_feed_split
106	106	pdftotext -layout	yes	no	high	Harbor Lock	form_feed_split
107	107	pdftotext -layout	yes	no	high		form_feed_split
108	108	pdftotext -layout	yes	no	high	NSO Group; Iron Torch; Harbor Lock	form_feed_split
109	109	pdftotext -layout	yes	no	high	MC2; Blue Raven; Silver Lance; Night Pearl	form_feed_split
110	110	pdftotext -layout	yes	no	high		form_feed_split
111	111	pdftotext -layout	yes	no	high		form_feed_split
112	112	pdftotext -layout	yes	no	high	Blue Raven; Iron Torch; Silver Lance; Night Pearl; Harbor Lock	form_feed_split
113	113	pdftotext -layout	yes	no	high		form_feed_split
114	114	pdftotext -layout	yes	no	high	Harbor Lock	form_feed_split
115	115	pdftotext -layout	yes	no	high		form_feed_split
116	116	pdftotext -layout	yes	no	high	Silver Lance	form_feed_split
117	117	pdftotext -layout	yes	no	high		form_feed_split
118	118	pdftotext -layout	yes	no	high		form_feed_split
119	119	pdftotext -layout	yes	no	high		form_feed_split
120	120	pdftotext -layout	yes	no	high		form_feed_split
121	121	pdftotext -layout	yes	no	high		form_feed_split
122	122	pdftotext -layout	yes	no	high		form_feed_split
123	123	pdftotext -layout	yes	no	high		form_feed_split
124	124	pdftotext -layout	yes	no	high		form_feed_split
125	125	pdftotext -layout	yes	no	high		form_feed_split
126	126	pdftotext -layout	yes	no	high		form_feed_split
127	127	pdftotext -layout	yes	no	high		form_feed_split
128	128	pdftotext -layout	yes	no	high		form_feed_split
129	129	pdftotext -layout	yes	no	high		form_feed_split
130	130	pdftotext -layout	yes	no	high		form_feed_split
131	131	pdftotext -layout	yes	no	high		form_feed_split
132	132	pdftotext -layout	yes	no	high		form_feed_split
133	133	pdftotext -layout	yes	no	high		form_feed_split
134	134	pdftotext -layout	yes	no	high		form_feed_split
135	135	pdftotext -layout	yes	no	high		form_feed_split
136	136	pdftotext -layout	yes	no	high		form_feed_split
137	137	pdftotext -layout	yes	no	high		form_feed_split
138	138	pdftotext -layout	yes	no	high		form_feed_split
139	139	pdftotext -layout	yes	no	high		form_feed_split
140	140	pdftotext -layout	yes	no	high		form_feed_split
141	141	pdftotext -layout	yes	no	high		form_feed_split
142	142	pdftotext -layout	yes	no	high		form_feed_split
143	143	pdftotext -layout	yes	no	high		form_feed_split
144	144	pdftotext -layout	yes	no	high		form_feed_split
145	145	pdftotext -layout	yes	no	high		form_feed_split
146	146	pdftotext -layout	yes	no	high		form_feed_split
147	147	pdftotext -layout	yes	no	high	NSO Group	form_feed_split
148	148	pdftotext -layout	yes	no	high		form_feed_split
149	149	pdftotext -layout	yes	no	high		form_feed_split
150	150	pdftotext -layout	yes	no	high		form_feed_split
151	151	pdftotext -layout	yes	no	high		form_feed_split
152	152	pdftotext -layout	yes	no	high		form_feed_split
153	153	pdftotext -layout	yes	no	high		form_feed_split
154	154	pdftotext -layout	yes	no	high		form_feed_split
155	155	pdftotext -layout	yes	no	high		form_feed_split
156	156	pdftotext -layout	yes	no	high		form_feed_split
157	157	pdftotext -layout	yes	no	high		form_feed_split
158	158	pdftotext -layout	yes	no	high		form_feed_split
159	159	pdftotext -layout	yes	no	high		form_feed_split
160	160	pdftotext -layout	yes	no	high		form_feed_split
161	161	pdftotext -layout	yes	no	high		form_feed_split
162	162	pdftotext -layout	yes	no	high		form_feed_split
163	163	pdftotext -layout	yes	no	high		form_feed_split
164	164	pdftotext -layout	yes	no	high		form_feed_split
165	165	pdftotext -layout	yes	no	high		form_feed_split
166	166	pdftotext -layout	yes	no	high		form_feed_split
167	167	pdftotext -layout	yes	no	high		form_feed_split
168	168	pdftotext -layout	yes	no	high		form_feed_split
169	169	pdftotext -layout	yes	no	high		form_feed_split
170	170	pdftotext -layout	yes	no	high		form_feed_split
171	171	pdftotext -layout	yes	no	high		form_feed_split
172	172	pdftotext -layout	yes	no	high		form_feed_split
173	173	pdftotext -layout	yes	no	high		form_feed_split
174	174	pdftotext -layout	yes	no	high		form_feed_split
175	175	pdftotext -layout	yes	no	high		form_feed_split
176	176	pdftotext -layout	yes	no	high		form_feed_split
177	177	pdftotext -layout	yes	no	high		form_feed_split
178	178	pdftotext -layout	yes	no	high		form_feed_split
179	179	pdftotext -layout	yes	no	high		form_feed_split
180	180	pdftotext -layout	yes	no	high		form_feed_split
181	181	pdftotext -layout	yes	no	high		form_feed_split
182	182	pdftotext -layout	yes	no	high		form_feed_split
183	183	pdftotext -layout	yes	no	high		form_feed_split
184	184	pdftotext -layout	yes	no	high		form_feed_split
185	185	pdftotext -layout	yes	no	high		form_feed_split
186	186	pdftotext -layout	yes	no	high		form_feed_split
187	187	pdftotext -layout	yes	no	high		form_feed_split
188	188	pdftotext -layout	yes	no	high		form_feed_split
189	189	pdftotext -layout	yes	no	high		form_feed_split
190	190	pdftotext -layout	yes	no	high		form_feed_split
191	191	pdftotext -layout	yes	no	high		form_feed_split
192	192	pdftotext -layout	yes	no	high		form_feed_split
193	193	pdftotext -layout	yes	no	high		form_feed_split
194	194	pdftotext -layout	yes	no	high		form_feed_split
195	195	pdftotext -layout	yes	no	high	Ghost Node	form_feed_split
196	196	pdftotext -layout	yes	no	high	Ghost Node	form_feed_split
197	197	pdftotext -layout	yes	no	high	Ghost Node	form_feed_split
198	198	pdftotext -layout	yes	no	high	Ghost Node	form_feed_split
199	199	pdftotext -layout	yes	no	high	Ghost Node	form_feed_split
200	200	pdftotext -layout	yes	no	high	Ghost Node	form_feed_split
201	201	pdftotext -layout	yes	no	high		form_feed_split
202	202	pdftotext -layout	yes	no	high		form_feed_split
203	203	pdftotext -layout	yes	no	high	Ghost Node	form_feed_split
204	204	pdftotext -layout	yes	no	high		form_feed_split
205	205	pdftotext -layout	yes	no	high		form_feed_split
