id	sort	datetime_display	timezone	lane	claim_class	headline	summary	efta	page_footer	artifact	excerpt	provenance	confidence	contradicts	not_prove	status	in_48h_window
MCC-EVT-001	2019-07-18T12:00:00	Jul. 18, 2019 · (court record)	America/New_York	discovery	verified_record	Bail refused; federal detention continues	Court-record context states bail was refused and Epstein remained detained pending trial.	SOURCE: OIG 23-085	Executive summary · July 18 detention context	https://oig.justice.gov/sites/default/files/reports/23-085.pdf	Court refused bail and ordered Epstein detained pending trial.	DOJ OIG Report 23-085 · public official PDF	0.91		Does not replace the full remand order or hearing transcript.	known	False
MCC-EVT-002	2019-07-07T12:00:00	Jul. 7, 2019 · (OIG summary)	America/New_York	staffing	official_finding	Assigned to SHU because of notoriety	OIG material summarized in EFTA00039025 states Epstein was placed in SHU on July 7 due to media attention and inmate awareness.	EFTA00039025	OIG extract	/archive/EFTA00039025	Epstein assigned to SHU July 7 due to media coverage and inmate awareness.	DOJ OIG Report 23-085 · archive EFTA00039025	0.94		Does not list every housing transfer or bed assignment form.	known	False
MCC-EVT-003	2019-07-29T08:00:00	Jul. 28–29, 2019	America/New_York	medical	verified_record	Late-July suicide-watch and psych-observation row	The rendered EFTA00039660/661 page shows Suicide Watch: None and Psych Observation: Epstein #76318-054. The separate Pending Bedspace for SHU line belongs to Lopez, not Epstein.	EFTA00039660	pp. 459–460 · EFTA00039660/661	/archive/EFTA00039660	Suicide Watch: None; Psych Observation: Epstein #76318-054; Pending Bedspace for SHU line belongs to Lopez.	DOJ Epstein release · EFTA00039660/661 page render and source card	0.88		Does not establish Epstein's unchanged status on August 9–10 without same-week confirmation, and does not assign Lopez's SHU-bedspace line to Epstein.	known	False
MCC-EVT-004	2019-08-08T12:00:00	Aug. 8 · year not established in row	America/New_York	attorney	verified_record	Attorney register row (Colvin / Epstein)	PDF page 15 of EFTA00035147 (footer EFTA00035161) lists Colvin in the name column and Epstein in the inmate column; registration 76318-054.	EFTA00035147	p. 15 · footer EFTA00035161	/archive/EFTA00035147	Row dated 8/8: Colvin name column; Epstein inmate; Reg 76318-054.	DOJ Epstein release · TASK-001 verified transcription	0.86		Year, visit purpose, and conduct are not established by the row alone.	known	True
MCC-EVT-005	2019-08-09T18:53:54	Aug. 9, 2019 · 18:53:54–18:54:46 EDT	America/New_York	camera	verified_record	Surveillance pointer: leaves cell for phone call	SDNY discovery letter EFTA00039416 states Epstein was captured leaving his cell to make a phone call in CH0080_20190809175956.	EFTA00039416	p. 2 · EFTA00039416	/archive/EFTA00039416	Captured leaving cell for phone call approx. 18:53:54 (CH0080_20190809175956).	U.S. v. Noel & Thomas discovery letter · EFTA00039416 PDF	0.96		Not visual review of video; does not show call content or all persons present.	known	True
MCC-EVT-006	2019-08-09T19:49:25	Aug. 9, 2019 · 19:49:25–19:49:39 EDT	America/New_York	camera	verified_record	Surveillance pointer: escorted back to cell	Same letter states Epstein was escorted back to his cell in CH0080_20190809185956.	EFTA00039416	p. 2 · EFTA00039416	/archive/EFTA00039416	Escorted back to cell approx. 19:49:25–19:49:39 (CH0080_20190809185956).	U.S. v. Noel & Thomas discovery letter · EFTA00039416 PDF	0.96		Does not document all later movements or overnight cellmate status.	known	True
MCC-EVT-007	2019-08-09T20:00:00	Aug. 9, 2019 · evening file windows	America/New_York	camera	verified_record	Evening CH0080 file manifest (Aug. 9)	Letter lists CH0080 files for August 9 including 19:59, 20:59, 21:59, and 22:59 windows.	EFTA00039416	p. 2 · Noel Req. 14	/archive/EFTA00039416	Aug. 9 video files: CH0080_20190809195956 through 20190809225956 listed.	EFTA00039416 PDF · Government courtesy index	0.93		File names are pointers, not proof of continuous usable footage.	known	True
MCC-EVT-008	2019-08-10T00:15:00	Aug. 9–10, 2019 · overnight	America/New_York	camera	verified_record	Overnight CH0080 file manifest	Letter lists overnight CH0080 filenames from late August 9 through morning August 10 activity windows.	EFTA00039416	pp. 2–3 · Noel Req. 14/20/22	/archive/EFTA00039416	Overnight files include CH0080_20190809235959 through 20190810055959 windows.	EFTA00039416 PDF	0.92	MCC-EVT-016	Does not prove uninterrupted angle coverage or export integrity.	disputed	True
MCC-EVT-009	2019-08-10T18:30:00	Aug. 9–10, 2019 · cellmate policy	America/New_York	cellmate	official_finding	Cellmate removed; Epstein left alone in cell	OIG Report 23-085 states Epstein's cellmate was transferred out and Epstein was left alone in his cell without a replacement cellmate.	EFTA00039025	OIG 23-085 summary	/archive/EFTA00039025	Cellmate transferred out; Epstein left alone without replacement cellmate.	DOJ OIG Report 23-085 · EFTA00039025 archive context	0.93		Does not prove intent, homicide, or which official signed each transfer order.	known	True
MCC-EVT-010	2019-08-10T22:00:00	Aug. 9–10, 2019 · ~10 p.m. count window	America/New_York	staffing	recorded_recollection	Alone-status awareness at count (control-spine anchor)	MCC control-spine anchors cite no-cellmate awareness around the 10 p.m. count; command-chain receipts remain incomplete in public extract.	EFTA00141175	control-spine anchor	/archive/EFTA00141175	Control-spine cites alone-status awareness near 10 p.m. count.	Archive anchor EFTA00141175 · MCC control-spine synthesis	0.72		Does not prove why alone status was not corrected before morning.	disputed	True
MCC-EVT-011	2019-08-10T06:30:00	Aug. 9–10, 2019 · overnight rounds	America/New_York	rounds	official_finding	Required 30-minute rounds not conducted	OIG found MCC staff did not conduct required 30-minute inmate counts and rounds on August 9–10.	SOURCE: OIG 23-085	OIG 23-085	https://oig.justice.gov/sites/default/files/reports/23-085.pdf	OIG: staff failed to conduct required 30-minute counts and rounds.	DOJ OIG Report 23-085 (public PDF)	0.95		Does not identify every staff member present for every missed interval.	known	True
MCC-EVT-012	2019-08-10T06:35:00	Aug. 9–10, 2019 · count records	America/New_York	rounds	official_finding	Count and round records falsified	OIG found staff falsified Bureau of Prisons count and round documentation for Epstein's unit.	SOURCE: OIG 23-085	Executive summary · rounds/counts findings	https://oig.justice.gov/sites/default/files/reports/23-085.pdf	OIG: staff falsified count and round records for Epstein's unit.	DOJ OIG Report 23-085 · public official PDF	0.94		Falsified records do not prove homicide, conspiracy, or third-party act.	known	True
MCC-EVT-013	2019-08-10T06:40:00	Aug. 9–10, 2019 · cameras	America/New_York	camera	official_finding	Camera system malfunctions cited by OIG	OIG reported MCC camera system issues affecting ability to monitor Epstein's housing area; file pointers exist separately in EFTA00039416.	EFTA00039416	OIG 23-085 + CH0080 index	https://oig.justice.gov/sites/default/files/reports/23-085.pdf	OIG cites camera malfunctions; CH0080 file list exists separately.	OIG 23-085 · cross-ref EFTA00039416	0.9	MCC-EVT-008	Does not map each malfunction minute to a specific blind spot without video review.	disputed	True
MCC-EVT-014	2019-08-10T06:45:00	Aug. 10, 2019 · discovery	America/New_York	discovery	official_finding	Found unresponsive in SHU cell	OIG context in EFTA00039025 states Epstein was found hanged in his assigned SHU cell on August 10, 2019.	EFTA00039025	OIG extract	/archive/EFTA00039025	Found hanged in assigned SHU cell August 10, 2019 per OIG context.	EFTA00039025 · OIG 23-085	0.94		Does not supply exact clock time of discovery in this extract.	known	True
MCC-EVT-015	2019-08-10T06:50:00	Aug. 10, 2019 · SOURCE GAP	America/New_York	discovery	unresolved	Exact time Epstein was found — SOURCE GAP	No primary EMS run sheet, BOP contemporaneous timestamp, or OCME intake clock time is extracted in the current public manifest for minute-level discovery time.	SOURCE GAP	n/a	/research/evidence/epstein-death#open	SOURCE GAP: exact discovery clock time not in current manifest.	GAH ledger gap label · see evidence layer	0.0		Absence of timestamp does not prove any particular theory.	unknown	True
MCC-EVT-016	2019-08-10T07:00:00	Aug. 10, 2019 · medical	America/New_York	medical	official_finding	OCME manner of death: suicide	OIG context states the Office of Chief Medical Examiner determined the manner of death was suicide.	EFTA00039025	OIG extract	/archive/EFTA00039025	OCME determined manner of death was suicide per OIG context.	EFTA00039025 · OIG 23-085	0.93		Does not reproduce full autopsy reasoning or toxicology in this page extract.	known	True
MCC-EVT-017	2019-08-10T07:05:00	Aug. 10, 2019 · SOURCE GAP	America/New_York	medical	unresolved	EMS / hospital response timing — SOURCE GAP	Primary EMS run sheet, hospital intake timestamps, and pronouncement sequence are not in the current extracted manifest.	SOURCE GAP	n/a	/research/evidence/epstein-death#open	SOURCE GAP: EMS/hospital chronology not extracted in manifest.	GAH ledger gap label	0.0		Gap does not prove delayed response or alternate sequence.	unknown	True
MCC-EVT-018	2019-08-11T12:00:00	Aug. 11, 2019	America/New_York	medical	verified_record	Autopsy report dated August 11	Archive window lists an OCME autopsy report dated August 11, 2019.	EFTA00039356	autopsy pointer	/archive/EFTA00039356	OCME autopsy report dated August 11, 2019 listed in archive.	DOJ Epstein release · EFTA00039356	0.87		Pointer only; findings not reproduced on this page.	known	False
MCC-EVT-019	2019-08-10T12:00:00	Aug. 10, 2019 · OIG conclusion	America/New_York	discovery	official_finding	OIG: no evidence disproving suicide conclusion	OIG Report 23-085 states investigators found no evidence that disproved the OCME suicide determination; report cites serious BOP misconduct and management failures.	SOURCE: OIG 23-085	OIG 23-085	https://oig.justice.gov/sites/default/files/reports/23-085.pdf	OIG found no evidence disproving OCME suicide determination.	DOJ OIG Report 23-085 · public official PDF	0.95		Does not close every process question about custody failures or camera gaps.	known	True
